bookID,title,authors,rating,language_code,  num_pages,ratings_count,text_reviews_count,,,,
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218,19822,46,,,,
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,359,6,,,,
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558,1430,59,,,,
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208,270244,12017,,,,
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,eng,48,36,2,,,,
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,2067,334,,,,
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,eng,56,6,0,,,,
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228,99,16,,,,
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304,167,4,,,,
58,Changeling (Changeling  #1),Delia Sherman,3.6,eng,256,978,111,,,,
59,The Changeling Sea,Patricia A. McKillip,4.06,eng,137,4454,302,,,,
61,The Changeling,Zilpha Keatley Snyder,4.17,eng,228,1176,96,,,,
63,The Changeling,Kate Horsley,3.55,eng,339,301,43,,,,
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369,345,12,,,,
67,The Known World,Edward P. Jones,3.83,eng,388,29686,2626,,,,
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,en-US,14,55,12,,,,
69,The Known World,Edward P. Jones,3.83,eng,576,22,3,,,,
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,1456,82,,,,
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,52,4,,,,
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416,562,37,,,,
75,Uncommon Carriers,John McPhee,3.95,en-US,248,1630,203,,,,
76,Heirs of General Practice,John McPhee,4.17,eng,128,268,22,,,,
77,The Control of Nature,John McPhee,4.24,en-US,288,3498,305,,,,
78,Annals of the Former World,John McPhee,4.34,eng,720,3115,228,,,,
79,Coming Into the Country,John McPhee,4.22,eng,448,5704,261,,,,
80,La Place de la Concorde Suisse,John McPhee,3.92,fre,160,698,52,,,,
81,Giving Good Weight,John McPhee,4.23,eng,288,542,36,,,,
83,Rising from the Plains,John McPhee,4.23,eng,208,1341,98,,,,
85,The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,1423,70,,,,
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,2766,64,,,,
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,eng,138,31,1,,,,
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,en-US,128,62,4,,,,
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192,860,53,,,,
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,en-US,108,77,2,,,,
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352,153317,2257,,,,
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,eng,192,55,5,,,,
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,eng,192,34,6,,,,
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832,11797,659,,,,
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123,34,8,,,,
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128,78,4,,,,
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423,2785,166,,,,
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,38778,568,,,,
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,97494,2359,,,,
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,592,784,21,,,,
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480,272,20,,,,
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426,4789,83,,,,
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,45388,644,,,,
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,26153,102,,,,
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544,69167,4551,,,,
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,291,45,13,,,,
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,en-US,256,16,1,,,,
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,174,16,,,,
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,eng,240,10,0,,,,
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,76,9,,,,
133,eBay for Dummies,Marsha Collier,3.5,eng,386,111,9,,,,
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,eng,260,24,0,,,,
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,55,4,,,,
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,eng,260,9,0,,,,
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,en-US,391,22,1,,,,
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,en-US,864,17,3,,,,
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873,166,4,,,,
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,50,5,,,,
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,13,2,,,,
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,eng,514,64,1,,,,
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838,16643,1851,,,,
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng,960,109420,5696,,,,
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng,837,2904,309,,,,
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80,16,3,,,,
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,eng,803,9564,726,,,,
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,eng,752,474,72,,,,
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,eng,803,303,48,,,,
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,411,65,,,,
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128,1204,33,,,,
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,160,3429,279,,,,
163,The Untouchable,John Banville,3.95,eng,367,2163,216,,,,
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng,256,613,31,,,,
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,en-US,320,308,40,,,,
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,eng,100,10,0,,,,
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,224,16,4,,,,
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,eng,216,10,0,,,,
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,eng,48,17,0,,,,
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,eng,360,1035,23,,,,
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,eng,250,36,6,,,,
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,eng,32,15,0,,,,
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,spa,205,6,1,,,,
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,367,376,17,,,,
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,352,3086,237,,,,
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,en-US,320,352,44,,,,
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng,331,9852,633,,,,
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,eng,244,821,78,,,,
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng,215,731,72,,,,
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng,191,2897,178,,,,
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng,144,98,11,,,,
231,I am Charlotte Simmons,Tom Wolfe,3.42,eng,738,20888,1688,,,,
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48,66,19,,,,
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng,287,81,6,,,,
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng,217,981,52,,,,
247,Quiet Days in Clichy,Henry Miller,3.69,eng,154,3381,141,,,,
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,eng,318,53206,2376,,,,
250,Tropic of Capricorn,Henry Miller,3.78,eng,348,14872,459,,,,
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng,316,3261,58,,,,
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,506,7805,251,,,,
253,The Air-Conditioned Nightmare,Henry Miller,3.83,eng,292,2699,142,,,,
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,eng,797,61640,1951,,,,
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,eng,635,392,41,,,,
277,Writing,Marguerite Duras,3.75,eng,91,778,44,,,,
278,The War,Marguerite Duras/Barbara Bray,3.85,eng,192,963,65,,,,
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,en-US,181,2057,128,,,,
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,178,203,8,,,,
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,eng,464,35,2,,,,
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,eng,102,328,16,,,,
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,eng,216,1308,82,,,,
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,eng,132,6432,517,,,,
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,eng,100,3015,217,,,,
295,Treasure Island,Robert Louis Stevenson,3.83,eng,311,318753,6734,,,,
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,en-US,213,420,42,,,,
297,Treasure Island,Robert Louis Stevenson,3.83,eng,245,5967,276,,,,
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,eng,64,104,14,,,,
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,en-US,272,56,4,,,,
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng,232,91,16,,,,
313,100 Years of Lynchings,Ralph Ginzburg,4.61,eng,270,88,4,,,,
324,Cien años de soledad,Gabriel García Márquez,4.07,spa,448,63,7,,,,
330,On Beyond Zebra!,Dr. Seuss,4.04,eng,64,2815,164,,,,
332,The Wedding Clause,Debbie Raleigh,3.6,eng,256,95,13,,,,
333,The Zebra Wall,Kevin Henkes,3.44,eng,147,217,24,,,,
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,spa,239,4136,255,,,,
348,The Door Into Summer,Robert A. Heinlein,4.01,eng,304,17232,649,,,,
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,eng,528,251872,6241,,,,
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,en-US,434,10293,193,,,,
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,en-US,439,15970,438,,,,
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,eng,256,6898,200,,,,
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,en-US,307,67803,1401,,,,
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,eng,298,22091,746,,,,
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,eng,368,2623,49,,,,
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,eng,256,885,84,,,,
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,eng,336,5,0,,,,
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,eng,72,100,13,,,,
385,On Bullshit,Harry G. Frankfurt,3.57,eng,67,9358,995,,,,
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,eng,347,9318,907,,,,
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,en-US,317,120,15,,,,
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,eng,32,5239,76,,,,
399,Underworld,Don DeLillo,3.92,eng,827,1505,175,,,,
400,Libra,Don DeLillo,3.99,eng,480,11857,564,,,,
403,Americana,Don DeLillo,3.43,eng,377,393,55,,,,
404,Running Dog,Don DeLillo,3.43,eng,256,1356,72,,,,
406,Cosmopolis,Don DeLillo,3.22,eng,224,460,41,,,,
407,Great Jones Street,Don DeLillo,3.48,eng,272,2492,145,,,,
408,The Names,Don DeLillo,3.64,eng,339,3100,212,,,,
409,Against the Day,Thomas Pynchon,4.13,eng,1085,5296,587,,,,
410,V.,Thomas Pynchon,3.96,eng,547,1415,177,,,,
411,The Crying of Lot 49,Thomas Pynchon,3.69,eng,152,2161,230,,,,
412,Gravity's Rainbow,Thomas Pynchon,4.01,eng,784,762,213,,,,
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,eng,773,8086,602,,,,
414,Vineland,Thomas Pynchon,3.69,en-US,385,702,69,,,,
415,Gravity's Rainbow,Thomas Pynchon,4.01,eng,776,29764,2164,,,,
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,eng,193,334,34,,,,
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,eng,352,2473,220,,,,
420,The Year of Magical Thinking,Joan Didion,3.89,en-US,227,2656,336,,,,
421,The White Album,Joan Didion,4.17,eng,222,11889,738,,,,
422,A Book of Common Prayer,Joan Didion,3.8,eng,272,2962,255,,,,
423,Where I Was From,Joan Didion,3.86,eng,240,2842,292,,,,
424,Slouching Towards Bethlehem,Joan Didion,4.21,eng,238,26934,1825,,,,
425,Democracy,Joan Didion,3.81,en-US,234,2070,169,,,,
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,eng,1122,1564,108,,,,
428,Play It As It Lays,Joan Didion/David Thomson,3.87,eng,231,23656,1706,,,,
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,eng,308,43200,1873,,,,
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,eng,203,12410,734,,,,
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,eng,96,3672,195,,,,
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,eng,179,2998,164,,,,
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,eng,256,74,2,,,,
446,The Brooklyn Follies,Paul Auster,3.84,eng,306,17977,1157,,,,
447,Moon Palace,Paul Auster,3.94,eng,320,16099,503,,,,
453,The Music of Chance,Paul Auster,3.9,en-US,217,361,36,,,,
454,Travels in the Scriptorium,Paul Auster,3.23,eng,145,6688,562,,,,
456,Leviathan,Paul Auster,3.96,eng,275,11744,443,,,,
463,The Red Notebook: True Stories,Paul Auster,3.77,eng,104,2390,120,,,,
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,fre,1075,21,1,,,,
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,eng,608,52522,2780,,,,
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,en-US,211,213,26,,,,
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,eng,262,719,86,,,,
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,eng,544,4762,512,,,,
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,eng,272,62,4,,,,
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,eng,576,278,20,,,,
493,My Inventions,Nikola Tesla,4.01,eng,88,2862,262,,,,
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,eng,542,2829,334,,,,
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,eng,144,105,5,,,,
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,eng,100,102,2,,,,
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,eng,249,478,12,,,,
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,en-US,828,1577,49,,,,
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,eng,112,73,8,,,,
524,Lord of the Flies,William Golding,3.68,eng,6,408,96,,,,
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,eng,397,1693,100,,,,
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,eng,216,1,0,,,,
537,The Lovely Bones,Alice Sebold,3.81,en-GB,328,6485,966,,,,
538,The Lovely Bones,Alice Sebold,3.81,en-US,532,367,73,,,,
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,eng,224,1371,43,,,,
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,en-US,296,793,28,,,,
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,en-US,456,549,42,,,,
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,mul,575,288,31,,,,
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,eng,245,26381,1109,,,,
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,eng,272,62089,3324,,,,
619,Vice (V  #8),Jane Feather,3.51,eng,419,474,19,,,,
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,eng,540,166046,6446,,,,
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,eng,32,1773,274,,,,
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,en-GB,408,286,10,,,,
643,Motorcycle Basics Techbook,John Harold Haynes,3.85,eng,222,40,2,,,,
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,eng,191,27,0,,,,
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,eng,304,7300,266,,,,
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,eng,1392,211671,6245,,,,
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,eng,352,2403,210,,,,
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,eng,1168,322483,14702,,,,
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,eng,224,2750,108,,,,
664,The Fountainhead,Ayn Rand,3.87,en-US,752,1886,229,,,,
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,3.51,eng,176,11462,467,,,,
667,Anthem,Ayn Rand,3.63,eng,105,110952,7277,,,,
668,We the Living,Ayn Rand/Leonard Peikoff,3.91,eng,464,23199,1086,,,,
669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,3.88,eng,340,3501,153,,,,
670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,3.96,eng,681,18,2,,,,
672,Sailing for Dummies,J.J. Isler/Peter Isler,3.95,eng,416,150,7,,,,
675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.88,eng,368,646,83,,,,
676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,eng,192,12180,630,,,,
678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.62,eng,286,51,5,,,,
681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.09,en-US,571,1601,284,,,,
685,The Natural,Bernard Malamud/Kevin Baker,3.63,eng,231,8854,672,,,,
698,Digging to America,Anne Tyler,3.55,eng,277,17155,1841,,,,
700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,3.77,eng,826,44,3,,,,
702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,3.59,en-US,528,234,11,,,,
703,The Plot Against America,Philip Roth,3.77,eng,391,33321,2925,,,,
707,Naked Pictures of Famous People,Jon   Stewart,3.59,en-GB,164,8703,417,,,,
759,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,4.19,eng,352,6375,179,,,,
762,Crónica de una muerte anunciada,Gabriel García Márquez,3.97,spa,118,7888,411,,,,
763,Cien años de soledad,Gabriel García Márquez,4.07,spa,496,130,5,,,,
764,Del amor y otros demonios,Gabriel García Márquez,3.98,spa,176,4508,278,,,,
765,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,3.99,eng,533,397,47,,,,
766,Memoria de mis putas tristes,Gabriel García Márquez,3.6,spa,112,5856,377,,,,
771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,eng,425,32569,1058,,,,
775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,4.29,eng,288,37,6,,,,
787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,3.75,eng,363,1,0,,,,
793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,3.83,eng,128,11,0,,,,
797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,4.03,spa,480,0,0,,,,
799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,0,eng,295,0,0,,,,
815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.88,eng,287,6870,237,,,,
816,Cryptonomicon,Neal Stephenson,4.25,eng,1139,83184,4249,,,,
821,Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.1,fre,418,5,0,,,,
822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.26,en-US,815,19320,565,,,,
